country,year,iso_code,co2,co2_per_capita,cumulative_co2,land_use_change_co2,gdp,population,co2_per_gdp,share_global_co2,cluster,cluster_label
Albania,2000,ALB,3.025,0.955,197.042,-0.087,14736835584.0,3166147.0,0.205,0.012,0,Emerging Emitters
Albania,2001,ALB,3.221,1.023,200.263,-0.144,16103904256.0,3147941.0,0.2,0.013,0,Emerging Emitters
Albania,2002,ALB,3.748,1.196,204.011,-0.258,17037279232.0,3134094.0,0.22,0.014,0,Emerging Emitters
Albania,2003,ALB,4.303,1.38,208.314,0.228,18171076608.0,3118092.0,0.237,0.016,0,Emerging Emitters
Albania,2004,ALB,4.177,1.348,212.491,-0.861,19346601984.0,3098663.0,0.216,0.015,0,Emerging Emitters
Albania,2005,ALB,4.261,1.385,216.753,2.333,20562851840.0,3076155.0,0.207,0.014,0,Emerging Emitters
Albania,2006,ALB,3.911,1.282,220.663,0.37,21889974272.0,3050804.0,0.179,0.013,0,Emerging Emitters
Albania,2007,ALB,3.949,1.306,224.612,2.366,23259283456.0,3022887.0,0.17,0.013,0,Emerging Emitters
Albania,2008,ALB,4.397,1.469,229.009,1.838,25006229504.0,2992933.0,0.176,0.014,0,Emerging Emitters
Albania,2009,ALB,4.407,1.488,233.416,0.944,25821550592.0,2961487.0,0.171,0.014,0,Emerging Emitters
Albania,2010,ALB,4.784,1.633,238.2,0.615,26747820032.0,2928730.0,0.179,0.014,0,Emerging Emitters
Albania,2011,ALB,5.315,1.825,243.514,0.711,27431047168.0,2911500.0,0.194,0.015,0,Emerging Emitters
Albania,2012,ALB,4.85,1.667,248.364,0.616,27819812864.0,2910003.0,0.174,0.014,0,Emerging Emitters
Albania,2013,ALB,5.287,1.819,253.652,0.495,28098562048.0,2907570.0,0.188,0.015,0,Emerging Emitters
Albania,2014,ALB,6.0,2.066,259.652,0.536,28597168128.0,2903748.0,0.21,0.017,0,Emerging Emitters
Albania,2015,ALB,4.712,1.626,264.364,1.079,29231665152.0,2898634.0,0.161,0.013,0,Emerging Emitters
Albania,2016,ALB,4.632,1.598,268.996,0.548,30200692736.0,2897868.0,0.153,0.013,0,Emerging Emitters
Albania,2017,ALB,5.293,1.826,274.289,0.624,31348975616.0,2898247.0,0.169,0.015,0,Emerging Emitters
Albania,2018,ALB,4.895,1.691,279.184,0.528,32609001472.0,2894231.0,0.15,0.013,0,Emerging Emitters
